A1C1,A1C0,A0C1,A0C0,A1,C1,Total,MI,C0GvA1,C1GvA1,C1GvA0,dltP,dltPp,Image_practice,Image,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,image1.started,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,polygon1.started,ISI.started,image.started,textbox.started,text.started,key_resp.started,textbox.text,key_resp.keys,key_resp.rt,instruction2.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,polygon2.started,ISI2.started,image_2.started,textbox_2.started,text_2.started,key_resp_2.started,textbox_2.text,key_resp_2.keys,key_resp_2.rt,text_3.started,text_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,15.347706454000217,15.347706454000217,space,139.2258437700002,,,,,,,,,,,,,,,,,,,,,,,,,6,001,2023-04-16_19h14.32.496,untitled,2022.2.5,None,
0,0,0,9,0,0,9,1.0,None,None,0.0,None,None,practice_stimuli/P_00_00_00_09.png,,0,0,0,0,,,,,,,,,154.64339516699965,0.014040991999536345,155.26985737199993,155.26985737199993,155.26985737199993,155.26985737199993,10,return,7.125641229000394,,,,,,,,,,,,,,,,6,001,2023-04-16_19h14.32.496,untitled,2022.2.5,None,
18,0,36,0,18,54,54,1.0,0.0,1.0,1.0,0.0,None,practice_stimuli/P_18_00_36_00.png,,0,1,1,1,,,,,,,,,162.41148988999976,0.0005778880004072562,162.9085324710004,162.9085324710004,162.9085324710004,162.9085324710004,50,return,3.8691043199996784,,,,,,,,,,,,,,,,6,001,2023-04-16_19h14.32.496,untitled,2022.2.5,None,
9,18,18,0,27,27,45,0.6,0.67,0.33,1.0,-0.67,#NAME?,practice_stimuli/P_09_18_18_00.png,,0,2,2,2,,,,,,,,,166.79683975399985,0.00064025999927253,167.2982769649998,167.2982769649998,167.2982769649998,167.2982769649998,25,return,6.867736408000383,,,,,,,,,,,,,,,,6,001,2023-04-16_19h14.32.496,untitled,2022.2.5,None,
36,18,18,36,54,54,108,0.83,0.33,0.67,0.33,0.33,0.5,practice_stimuli/P_36_18_18_36.png,,0,3,3,3,,,,,,,,,174.1915342430002,0.0006523679994643317,174.6930875099997,174.6930875099997,174.6930875099997,174.6930875099997,40,return,7.113197923000371,,,,,,,,,,,,,,,,6,001,2023-04-16_19h14.32.496,untitled,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.8358166500002,181.8358166500002,space,29.12013099900014,,,,,,,,,,,,6,001,2023-04-16_19h14.32.496,untitled,2022.2.5,None,
36,0,36,36,36,72,108,1.0,0.0,1.0,0.5,0.5,1.0,,stimuli/P_36_00_36_36.png,,,,,0,0,0,207,,,,,,,,,,,,,,,,,,211.02819720800017,0.05239269100002275,211.590270658,211.590270658,211.590270658,211.590270658,30,return,5.088172755000414,,,6,001,2023-04-16_19h14.32.496,untitled,2022.2.5,None,
36,36,0,9,72,36,81,0.56,0.5,0.5,0.0,0.5,0.5,,stimuli/P_36_36_00_09.png,,,,,0,1,1,241,,,,,,,,,,,,,,,,,,216.69617055300023,0.0006435860004785354,217.1927663690003,217.1927663690003,217.1927663690003,217.1927663690003,30,return,5.22404724199987,,,6,001,2023-04-16_19h14.32.496,untitled,2022.2.5,None,
18,9,0,18,27,18,45,0.8,0.33,0.67,0.0,0.67,0.67,,stimuli/P_18_09_00_18.png,,,,,0,2,2,146,,,,,,,,,,,,,,,,,,222.43009947999963,0.0007969609996507643,222.92321630900005,222.92321630900005,222.92321630900005,222.92321630900005,25,return,3.6517072900005587,,,6,001,2023-04-16_19h14.32.496,untitled,2022.2.5,None,
18,18,36,9,36,54,81,0.78,0.5,0.5,0.8,-0.3,-1.5,,stimuli/P_18_18_36_09.png,,,,,0,3,3,173,,,,,,,,,,,,,,,,,,226.59571614099968,0.0006680320002487861,227.0904760430003,227.0904760430003,227.0904760430003,227.0904760430003,20,return,4.382572421000077,,,6,001,2023-04-16_19h14.32.496,untitled,2022.2.5,None,
36,18,36,18,54,72,108,0.83,0.33,0.67,0.67,0.0,0.0,,stimuli/P_36_18_36_18.png,,,,,0,4,4,238,,,,,,,,,,,,,,,,,,231.49618549499974,0.0007703609999225591,231.99273761400036,231.99273761400036,231.99273761400036,231.99273761400036,35,return,6.153521942000225,,,6,001,2023-04-16_19h14.32.496,untitled,2022.2.5,None,
0,0,18,0,0,18,18,1.0,None,None,1.0,None,None,,stimuli/P_00_00_18_00.png,,,,,0,5,5,8,,,,,,,,,,,,,,,,,,238.16073840300032,0.0005723710000893334,238.65839706899988,238.65839706899988,238.65839706899988,238.65839706899988,0,return,2.5240940520006916,,,6,001,2023-04-16_19h14.32.496,untitled,2022.2.5,None,
36,0,0,9,36,36,45,1.0,0.0,1.0,0.0,1.0,1.0,,stimuli/P_36_00_00_09.png,,,,,0,6,6,193,,,,,,,,,,,,,,,,,,241.1960669760001,0.0007706189999225899,241.70067637899956,241.70067637899956,241.70067637899956,241.70067637899956,25,return,3.2394972410002083,,,6,001,2023-04-16_19h14.32.496,untitled,2022.2.5,None,
18,36,36,18,54,54,108,0.67,0.67,0.33,0.67,-0.33,-1.0,,stimuli/P_18_36_36_18.png,,,,,0,7,7,190,,,,,,,,,,,,,,,,,,244.95836765399963,0.0006696959999317187,245.46282507399974,245.46282507399974,245.46282507399974,245.46282507399974,15,return,4.666888362999998,,,6,001,2023-04-16_19h14.32.496,untitled,2022.2.5,None,
18,0,18,18,18,36,54,1.0,0.0,1.0,0.5,0.5,1.0,,stimuli/P_18_00_18_18.png,,,,,0,8,8,138,,,,,,,,,,,,,,,,,,250.14488886300023,0.0006627339998885873,250.65300246399966,250.65300246399966,250.65300246399966,250.65300246399966,30,return,7.026916197000901,,,6,001,2023-04-16_19h14.32.496,untitled,2022.2.5,None,
18,36,0,18,54,18,72,0.5,0.67,0.33,0.0,0.33,0.33,,stimuli/P_18_36_00_18.png,,,,,0,9,9,178,,,,,,,,,,,,,,,,,,257.694035689,0.0008433250004600268,258.2036024649997,258.2036024649997,258.2036024649997,258.2036024649997,25,None,,,,6,001,2023-04-16_19h14.32.496,untitled,2022.2.5,None,
9,36,0,9,45,9,54,0.33,0.8,0.2,0.0,0.2,0.2,,stimuli/P_09_36_00_09.png,,,,,0,10,10,113,,,,,,,,,,,,,,,,,,265.80737836499975,0.01611925199995312,266.32663194900033,266.32663194900033,266.32663194900033,266.32663194900033,5,return,4.4761491910003315,,,6,001,2023-04-16_19h14.32.496,untitled,2022.2.5,None,
36,9,9,18,45,45,72,0.88,0.2,0.8,0.33,0.47,0.7,,stimuli/P_36_09_09_18.png,,,,,0,11,11,214,,,,,,,,,,,,,,,,,,270.8291071880003,0.0007606530007251422,271.335923527,271.335923527,271.335923527,271.335923527,10,return,6.23664100499991,,,6,001,2023-04-16_19h14.32.496,untitled,2022.2.5,None,
18,9,0,0,27,18,27,0.67,0.33,0.67,None,None,None,,stimuli/P_18_09_00_00.png,,,,,0,12,12,144,,,,,,,,,,,,,,,,,,277.60336957799973,0.0009436139998797444,278.11390425900026,278.11390425900026,278.11390425900026,278.11390425900026,15,return,4.276273969000613,,,6,001,2023-04-16_19h14.32.496,untitled,2022.2.5,None,
18,18,18,9,36,36,63,0.71,0.5,0.5,0.67,-0.17,-0.5,,stimuli/P_18_18_18_09.png,,,,,0,13,13,169,,,,,,,,,,,,,,,,,,282.40878704900024,0.000550492000002123,282.9093873310003,282.9093873310003,282.9093873310003,282.9093873310003,20,return,7.040350236999984,,,6,001,2023-04-16_19h14.32.496,untitled,2022.2.5,None,
18,0,36,0,18,54,54,1.0,0.0,1.0,1.0,0.0,None,,stimuli/P_18_00_36_00.png,,,,,0,14,14,140,,,,,,,,,,,,,,,,,,289.97734012099954,0.0007720030007476453,290.47784726200007,290.47784726200007,290.47784726200007,290.47784726200007,15,return,6.398216024999783,,,6,001,2023-04-16_19h14.32.496,untitled,2022.2.5,None,
36,18,9,0,54,45,63,0.71,0.33,0.67,1.0,-0.33,#NAME?,,stimuli/P_36_18_09_00.png,,,,,0,15,15,228,,,,,,,,,,,,,,,,,,296.8918827790003,0.0006631180003751069,297.4003587489997,297.4003587489997,297.4003587489997,297.4003587489997,15,return,6.392859540000245,,,6,001,2023-04-16_19h14.32.496,untitled,2022.2.5,None,
36,36,0,18,72,36,90,0.6,0.5,0.5,0.0,0.5,0.5,,stimuli/P_36_36_00_18.png,,,,,0,16,16,242,,,,,,,,,,,,,,,,,,303.820128675,0.0008370140003535198,304.3206828559996,304.3206828559996,304.3206828559996,304.3206828559996,40,return,7.225118538000061,,,6,001,2023-04-16_19h14.32.496,untitled,2022.2.5,None,
0,0,36,0,0,36,36,1.0,None,None,1.0,None,None,,stimuli/P_00_00_36_00.png,,,,,0,17,17,12,,,,,,,,,,,,,,,,,,311.5742378770001,0.0007803190001141047,312.07377792399984,312.07377792399984,312.07377792399984,312.07377792399984,0,return,3.3110274730006495,,,6,001,2023-04-16_19h14.32.496,untitled,2022.2.5,None,
36,0,18,0,36,54,54,1.0,0.0,1.0,1.0,0.0,None,,stimuli/P_36_00_18_00.png,,,,,0,18,18,200,,,,,,,,,,,,,,,,,,315.4092382810004,0.0006436499998017098,315.923116854,315.923116854,315.923116854,315.923116854,20,return,5.887587715999871,,,6,001,2023-04-16_19h14.32.496,untitled,2022.2.5,None,
36,9,0,36,45,36,81,0.89,0.2,0.8,0.0,0.8,0.8,,stimuli/P_36_09_00_36.png,,,,,0,19,19,211,,,,,,,,,,,,,,,,,,321.8246538550002,0.0005602660003205528,322.3246153939999,322.3246153939999,322.3246153939999,322.3246153939999,,None,,,,6,001,2023-04-16_19h14.32.496,untitled,2022.2.5,None,
18,18,9,0,36,27,45,0.6,0.5,0.5,1.0,-0.5,#NAME?,,stimuli/P_18_18_09_00.png,,,,,0,20,20,164,,,,,,,,,,,,,,,,,,329.93926384299994,0.015619349999724363,330.4440695459998,330.4440695459998,330.4440695459998,330.4440695459998,50,return,5.516442115000245,,,6,001,2023-04-16_19h14.32.496,untitled,2022.2.5,None,
18,36,9,9,54,27,72,0.5,0.67,0.33,0.5,-0.17,-0.33,,stimuli/P_18_36_09_09.png,,,,,0,21,21,181,,,,,,,,,,,,,,,,,,335.9760876829996,0.0006492149996120133,336.4714606289999,336.4714606289999,336.4714606289999,336.4714606289999,30,return,7.027255061000687,,,6,001,2023-04-16_19h14.32.496,untitled,2022.2.5,None,
9,0,18,18,9,27,45,1.0,0.0,1.0,0.5,0.5,1.0,,stimuli/P_09_00_18_18.png,,,,,0,22,22,74,,,,,,,,,,,,,,,,,,343.53083735699965,0.0007503389997509657,344.0258498590001,344.0258498590001,344.0258498590001,344.0258498590001,5,None,,,,6,001,2023-04-16_19h14.32.496,untitled,2022.2.5,None,
9,18,9,9,27,18,45,0.6,0.67,0.33,0.5,-0.17,-0.33,,stimuli/P_09_18_09_09.png,,,,,0,23,23,101,,,,,,,,,,,,,,,,,,351.6392197770001,0.009866457999123668,352.1581663879997,352.1581663879997,352.1581663879997,352.1581663879997,,None,,,,6,001,2023-04-16_19h14.32.496,untitled,2022.2.5,None,
36,18,18,9,54,54,81,0.78,0.33,0.67,0.67,0.0,0.0,,stimuli/P_36_18_18_09.png,,,,,0,24,24,233,,,,,,,,,,,,,,,,,,359.73602243000005,0.005817072998979711,360.2543848940004,360.2543848940004,360.2543848940004,360.2543848940004,30,None,,,,6,001,2023-04-16_19h14.32.496,untitled,2022.2.5,None,
9,36,36,0,45,45,81,0.56,0.8,0.2,1.0,-0.8,#NAME?,,stimuli/P_09_36_36_00.png,,,,,0,25,25,124,,,,,,,,,,,,,,,,,,367.8404164120002,0.011038646998713375,368.34898381400035,368.34898381400035,368.34898381400035,368.34898381400035,25,return,6.9459687620001205,,,6,001,2023-04-16_19h14.32.496,untitled,2022.2.5,None,
18,9,36,36,27,54,99,0.91,0.33,0.67,0.5,0.17,0.33,,stimuli/P_18_09_36_36.png,,,,,0,26,26,159,,,,,,,,,,,,,,,,,,375.30852895800035,0.0008053929996094666,375.81138657999963,375.81138657999963,375.81138657999963,375.81138657999963,,None,,,,6,001,2023-04-16_19h14.32.496,untitled,2022.2.5,None,
9,36,0,36,45,9,81,0.56,0.8,0.2,0.0,0.2,0.2,,stimuli/P_09_36_00_36.png,,,,,0,27,27,115,,,,,,,,,,,,,,,,,,383.4225273559996,0.0176595160000943,383.93476116199963,383.93476116199963,383.93476116199963,383.93476116199963,1,None,,,,6,001,2023-04-16_19h14.32.496,untitled,2022.2.5,None,
18,18,0,9,36,18,45,0.6,0.5,0.5,0.0,0.5,0.5,,stimuli/P_18_18_00_09.png,,,,,0,28,28,161,,,,,,,,,,,,,,,,,,391.52153866699973,0.014514693999444717,392.0297652199997,392.0297652199997,392.0297652199997,392.0297652199997,20,return,6.149669604000337,,,6,001,2023-04-16_19h14.32.496,untitled,2022.2.5,None,
0,0,18,18,0,18,36,1.0,None,None,0.5,None,None,,stimuli/P_00_00_18_18.png,,,,,0,29,29,10,,,,,,,,,,,,,,,,,,398.20404100500036,0.0007870540002841153,398.7114873549999,398.7114873549999,398.7114873549999,398.7114873549999,0,return,4.177323621000141,,,6,001,2023-04-16_19h14.32.496,untitled,2022.2.5,None,
36,0,36,9,36,72,81,1.0,0.0,1.0,0.8,0.2,1.0,,stimuli/P_36_00_36_09.png,,,,,0,30,30,205,,,,,,,,,,,,,,,,,,402.91203959500035,0.0007872340001995326,403.40661265499966,403.40661265499966,403.40661265499966,403.40661265499966,40,return,6.141144509000696,,,6,001,2023-04-16_19h14.32.496,untitled,2022.2.5,None,
0,36,18,18,36,18,72,0.5,1.0,0.0,0.5,-0.5,-1.0,,stimuli/P_00_36_18_18.png,,,,,0,31,31,58,,,,,,,,,,,,,,,,,,409.5766830189996,0.0007488440005545272,410.077687858,410.077687858,410.077687858,410.077687858,0,return,4.377613296999698,,,6,001,2023-04-16_19h14.32.496,untitled,2022.2.5,None,
9,9,36,36,18,45,90,0.9,0.5,0.5,0.5,0.0,0.0,,stimuli/P_09_09_36_36.png,,,,,0,32,32,95,,,,,,,,,,,,,,,,,,414.47473515,0.0006523920001200167,414.9743229269998,414.9743229269998,414.9743229269998,414.9743229269998,10,return,4.378740852000192,,,6,001,2023-04-16_19h14.32.496,untitled,2022.2.5,None,
36,0,0,0,36,36,36,1.0,0.0,1.0,None,None,None,,stimuli/P_36_00_00_00.png,,,,,0,33,33,192,,,,,,,,,,,,,,,,,,419.3736164089996,0.0006422220003514667,419.87634083299963,419.87634083299963,419.87634083299963,419.87634083299963,100,return,2.6981426349993853,,,6,001,2023-04-16_19h14.32.496,untitled,2022.2.5,None,
36,18,36,9,54,72,99,0.82,0.33,0.67,0.8,-0.13,-0.67,,stimuli/P_36_18_36_09.png,,,,,0,34,34,237,,,,,,,,,,,,,,,,,,422.5900247319996,0.0005024100000809995,423.0877809800004,423.0877809800004,423.0877809800004,423.0877809800004,25,return,6.310908821000339,,,6,001,2023-04-16_19h14.32.496,untitled,2022.2.5,None,
0,9,36,0,9,36,45,0.8,1.0,0.0,1.0,-1.0,#NAME?,,stimuli/P_00_09_36_00.png,,,,,0,35,35,28,,,,,,,,,,,,,,,,,,429.42155327599994,0.0005695950003428152,429.92019841900037,429.92019841900037,429.92019841900037,429.92019841900037,0,return,2.1146646220004186,,,6,001,2023-04-16_19h14.32.496,untitled,2022.2.5,None,
0,0,36,36,0,36,72,1.0,None,None,0.5,None,None,,stimuli/P_00_00_36_36.png,,,,,0,36,36,15,,,,,,,,,,,,,,,,,,432.05841349099956,0.0007603240001117229,432.5646452339997,432.5646452339997,432.5646452339997,432.5646452339997,0,return,2.1830768090003403,,,6,001,2023-04-16_19h14.32.496,untitled,2022.2.5,None,
9,0,9,0,9,18,18,1.0,0.0,1.0,1.0,0.0,None,,stimuli/P_09_00_09_00.png,,,,,0,37,37,68,,,,,,,,,,,,,,,,,,434.7732766090003,0.0007121819999156287,435.28124673,435.28124673,435.28124673,435.28124673,50,return,4.622410680999565,,,6,001,2023-04-16_19h14.32.496,untitled,2022.2.5,None,
0,36,18,36,36,18,90,0.6,1.0,0.0,0.33,-0.33,-0.5,,stimuli/P_00_36_18_36.png,,,,,0,38,38,59,,,,,,,,,,,,,,,,,,439.92514110499997,0.0006642520002060337,440.42597604599996,440.42597604599996,440.42597604599996,440.42597604599996,0,return,2.232693052999821,,,6,001,2023-04-16_19h14.32.496,untitled,2022.2.5,None,
36,9,18,9,45,54,72,0.88,0.2,0.8,0.67,0.13,0.4,,stimuli/P_36_09_18_09.png,,,,,0,39,39,217,,,,,,,,,,,,,,,,,,442.6855078159997,0.0012769539998771506,443.19043792699995,443.19043792699995,443.19043792699995,443.19043792699995,25,return,5.04859180800031,,,6,001,2023-04-16_19h14.32.496,untitled,2022.2.5,None,
9,18,9,0,27,18,36,0.5,0.67,0.33,1.0,-0.67,#NAME?,,stimuli/P_09_18_09_00.png,,,,,0,40,40,100,,,,,,,,,,,,,,,,,,448.2616595440004,0.0007595030001539271,448.7641100190003,448.7641100190003,448.7641100190003,448.7641100190003,10,return,5.226499316000627,,,6,001,2023-04-16_19h14.32.496,untitled,2022.2.5,None,
0,9,18,0,9,18,27,0.67,1.0,0.0,1.0,-1.0,#NAME?,,stimuli/P_00_09_18_00.png,,,,,0,41,41,24,,,,,,,,,,,,,,,,,,454.00596933199995,0.0005902960001549218,454.5180301700002,454.5180301700002,454.5180301700002,454.5180301700002,0,return,1.9317357990003075,,,6,001,2023-04-16_19h14.32.496,untitled,2022.2.5,None,
0,9,18,9,9,18,36,0.75,1.0,0.0,0.67,-0.67,-2.0,,stimuli/P_00_09_18_09.png,,,,,0,42,42,25,,,,,,,,,,,,,,,,,,456.47618580200015,0.0009329189997515641,456.9803590720003,456.9803590720003,456.9803590720003,456.9803590720003,0,return,1.7789455510001062,,,6,001,2023-04-16_19h14.32.496,untitled,2022.2.5,None,
0,36,9,18,36,9,63,0.43,1.0,0.0,0.33,-0.33,-0.5,,stimuli/P_00_36_09_18.png,,,,,0,43,43,54,,,,,,,,,,,,,,,,,,458.78933787499955,0.0009385889998156927,459.2910560299997,459.2910560299997,459.2910560299997,459.2910560299997,0,return,1.726269821000642,,,6,001,2023-04-16_19h14.32.496,untitled,2022.2.5,None,
9,9,0,36,18,9,54,0.83,0.5,0.5,0.0,0.5,0.5,,stimuli/P_09_09_00_36.png,,,,,0,44,44,83,,,,,,,,,,,,,,,,,,461.0415898709998,0.0006512400004794472,461.5471093739998,461.5471093739998,461.5471093739998,461.5471093739998,10,return,6.076509048000844,,,6,001,2023-04-16_19h14.32.496,untitled,2022.2.5,None,
18,0,9,18,18,27,45,1.0,0.0,1.0,0.33,0.67,1.0,,stimuli/P_18_00_09_18.png,,,,,0,45,45,134,,,,,,,,,,,,,,,,,,467.64774334399954,0.0008244840000770637,468.1515021899995,468.1515021899995,468.1515021899995,468.1515021899995,20,return,6.284251598000083,,,6,001,2023-04-16_19h14.32.496,untitled,2022.2.5,None,
18,0,18,36,18,36,72,1.0,0.0,1.0,0.33,0.67,1.0,,stimuli/P_18_00_18_36.png,,,,,0,46,46,139,,,,,,,,,,,,,,,,,,474.4598344590004,0.0006896189997860347,474.9633706710001,474.9633706710001,474.9633706710001,474.9633706710001,2,None,,,,6,001,2023-04-16_19h14.32.496,untitled,2022.2.5,None,
9,36,18,18,45,27,81,0.56,0.8,0.2,0.5,-0.3,-0.6,,stimuli/P_09_36_18_18.png,,,,,0,47,47,122,,,,,,,,,,,,,,,,,,482.5703847599998,0.012278424999749404,483.0858531109998,483.0858531109998,483.0858531109998,483.0858531109998,10,return,3.073767704000602,,,6,001,2023-04-16_19h14.32.496,untitled,2022.2.5,None,
0,9,0,36,9,0,45,0.8,1.0,0.0,0.0,0.0,0.0,,stimuli/P_00_09_00_36.png,,,,,0,48,48,19,,,,,,,,,,,,,,,,,,486.17191664500024,0.0006986170001255232,486.66827302799993,486.66827302799993,486.66827302799993,486.66827302799993,0,return,1.7251400410004862,,,6,001,2023-04-16_19h14.32.496,untitled,2022.2.5,None,
36,9,0,0,45,36,45,0.8,0.2,0.8,None,None,None,,stimuli/P_36_09_00_00.png,,,,,0,49,49,208,,,,,,,,,,,,,,,,,,488.40860902500026,0.0005655600007230532,488.9141578990002,488.9141578990002,488.9141578990002,488.9141578990002,75,return,6.678057344000081,,,6,001,2023-04-16_19h14.32.496,untitled,2022.2.5,None,
36,36,36,36,72,72,144,0.75,0.5,0.5,0.5,0.0,0.0,,stimuli/P_36_36_36_36.png,,,,,0,50,50,255,,,,,,,,,,,,,,,,,,495.6213002000004,0.0007726880003247061,496.121671117,496.121671117,496.121671117,496.121671117,50,return,6.821519359000376,,,6,001,2023-04-16_19h14.32.496,untitled,2022.2.5,None,
0,9,9,9,9,9,27,0.67,1.0,0.0,0.5,-0.5,-1.0,,stimuli/P_00_09_09_09.png,,,,,0,51,51,21,,,,,,,,,,,,,,,,,,502.958243178,0.0007887259998824447,503.46203997799967,503.46203997799967,503.46203997799967,503.46203997799967,0,return,3.380137580000337,,,6,001,2023-04-16_19h14.32.496,untitled,2022.2.5,None,
0,36,18,9,36,18,63,0.43,1.0,0.0,0.67,-0.67,-2.0,,stimuli/P_00_36_18_09.png,,,,,0,52,52,57,,,,,,,,,,,,,,,,,,506.857530796,0.0006451809995269286,507.36555000499993,507.36555000499993,507.36555000499993,507.36555000499993,0,return,2.990409388000444,,,6,001,2023-04-16_19h14.32.496,untitled,2022.2.5,None,
36,18,36,0,54,72,90,0.8,0.33,0.67,1.0,-0.33,#NAME?,,stimuli/P_36_18_36_00.png,,,,,0,53,53,236,,,,,,,,,,,,,,,,,,510.37373698400006,0.0006509090007966734,510.87037223100015,510.87037223100015,510.87037223100015,510.87037223100015,30,None,,,,6,001,2023-04-16_19h14.32.496,untitled,2022.2.5,None,
9,18,36,9,27,45,72,0.75,0.67,0.33,0.8,-0.47,-2.33,,stimuli/P_09_18_36_09.png,,,,,0,54,54,109,,,,,,,,,,,,,,,,,,518.4834164450003,0.009276622000470525,518.9963391689998,518.9963391689998,518.9963391689998,518.9963391689998,10,return,5.207234657000299,,,6,001,2023-04-16_19h14.32.496,untitled,2022.2.5,None,
36,18,18,36,54,54,108,0.83,0.33,0.67,0.33,0.33,0.5,,stimuli/P_36_18_18_36.png,,,,,0,55,55,235,,,,,,,,,,,,,,,,,,524.231478965,0.000771299000007275,524.7357038319997,524.7357038319997,524.7357038319997,524.7357038319997,40,return,6.1955297450003854,,,6,001,2023-04-16_19h14.32.496,untitled,2022.2.5,None,
0,36,36,36,36,36,108,0.67,1.0,0.0,0.5,-0.5,-1.0,,stimuli/P_00_36_36_36.png,,,,,0,56,56,63,,,,,,,,,,,,,,,,,,530.9428006999997,0.0006824239999332349,531.4376145469996,531.4376145469996,531.4376145469996,531.4376145469996,0,return,4.174550561000615,,,6,001,2023-04-16_19h14.32.496,untitled,2022.2.5,None,
9,0,18,9,9,27,36,1.0,0.0,1.0,0.67,0.33,1.0,,stimuli/P_09_00_18_09.png,,,,,0,57,57,73,,,,,,,,,,,,,,,,,,535.6251956300002,0.0007810940005583689,536.133323002,536.133323002,536.133323002,536.133323002,3,None,,,,6,001,2023-04-16_19h14.32.496,untitled,2022.2.5,None,
